Timestamp,Friendship level with the person you traded with?,Did you receive a Lucky Pokemon from this trade?,Candy received from the trade,Caught date (for the Pokemon you received),Caught date (for the Pokemon you gave away),Date of trading,ATK IV,DEF IV,STA IV,Your Trainer name,Your Trainer Level,Trading Partner's Trainer Level,Your trading medal (Gentleman),Your trading distance medal (Pilot)
7/25/2018 22:36:47,"Great friends (2 stars, 7 days)",Yes,2,11/10/2016,7/28/2016,7/25/2018,9,12,14,StaceybobTVC,37,35,Bronze,Bronze
7/25/2018 22:36:50,"Great friends (2 stars, 7 days)",Yes,2,7/28/2016,11/10/2016,7/25/2018,15,11,11,RIOTcoreTVC,35,37,Bronze,Bronze
7/25/2018 22:37:27,"Great friends (2 stars, 7 days)",Yes,1,12/21/2017,1/10/2018,7/26/2018,13,12,15,DaveDragonTR,38,33,Bronze,Bronze
7/25/2018 22:38:02,"Good friends (1 stars, 1 day)",Yes,1,8/29/2016,,7/25/2018,4,15,5,tazdbz,36,33,None,Bronze
7/25/2018 22:38:02,"Great friends (2 stars, 7 days)",No,1,7/24/2017,1/2/2018,7/25/2018,4,7,14,brmstick,40,38,Silver,Gold
7/25/2018 22:38:42,"Great friends (2 stars, 7 days)",No,3,9/11/2017,7/25/2018,7/25/2018,9,6,2,VM1ATL,40,32,Silver,Silver
7/25/2018 22:39:01,"Great friends (2 stars, 7 days)",Yes,3,9/14/2016,7/21/2018,7/25/2018,13,5,2,zer4twelve,35,37,Bronze,Bronze
7/25/2018 22:39:22,"Ultra friends (3 stars, 30 days)",Yes,3,9/1/2016,7/25/2018,7/25/2018,12,12,14,GokuMessi87,40,36,Bronze,Silver
7/25/2018 22:39:35,"Good friends (1 stars, 1 day)",Yes,3,7/17/2016,6/20/2018,7/25/2018,10,15,10,TrainerGIRSTO,34,21,Bronze,Bronze
7/25/2018 22:41:32,"Great friends (2 stars, 7 days)",No,3,7/25/2018,7/15/2018,7/25/2018,5,8,1,VM1ATL,40,32,Silver,Silver
7/25/2018 22:42:02,"Great friends (2 stars, 7 days)",Yes,1,7/24/2018,1/23/2017,7/25/2018,12,8,14,StaceybobTVC,37,35,Bronze,Bronze
7/25/2018 22:42:02,"Great friends (2 stars, 7 days)",No,1,11/25/2017,11/9/2017,7/25/2018,11,15,14,brmstick,40,38,Silver,Gold
7/25/2018 22:43:55,"Great friends (2 stars, 7 days)",No,3,7/25/2018,7/15/2018,7/25/2018,3,8,1,VM1ATL,40,32,Silver,Silver
7/25/2018 22:43:59,"Great friends (2 stars, 7 days)",Yes,1,1/23/2017,7/24/2018,7/25/2018,11,14,14,RIOTcoreTVC,35,37,Bronze,Bronze
7/25/2018 22:45:01,"Ultra friends (3 stars, 30 days)",Yes,3,7/25/2018,10/2/2016,7/25/2018,12,13,14,Codermum,40,40,Silver,Gold
7/25/2018 22:45:34,"Great friends (2 stars, 7 days)",No,1,6/2/2018,8/19/2017,7/25/2018,9,9,6,brmstick,40,38,Silver,Gold
7/25/2018 22:46:02,"Great friends (2 stars, 7 days)",Yes,3,7/24/2016,7/25/2018,7/25/2018,15,11,15,,37,30,Bronze,Bronze
7/25/2018 22:46:36,"Great friends (2 stars, 7 days)",No,3,7/25/2018,7/15/2018,7/25/2018,14,11,11,VM1ATL,40,32,Silver,Silver
7/25/2018 22:46:41,"Great friends (2 stars, 7 days)",Yes,1,7/25/2018,7/25/2018,7/25/2018,2,12,15,magicae,27,,,
7/25/2018 22:47:15,"Great friends (2 stars, 7 days)",Yes,1,11/23/2016,8/24/2016,7/26/2018,13,14,15,AgnimitraSDhar,39,35,Bronze,Bronze
7/25/2018 22:48:05,"Great friends (2 stars, 7 days)",No,2,7/12/2016,7/24/2018,7/25/2018,7,14,11,Spartangod244,39,36,Silver,Silver
7/25/2018 22:48:21,"Great friends (2 stars, 7 days)",Yes,3,10/3/2016,7/18/2018,7/25/2018,8,3,10,CotothedHunt,40,32,Silver,Silver
7/25/2018 22:48:57,"Great friends (2 stars, 7 days)",No,1,2/8/2018,6/21/2018,7/25/2018,15,15,14,pdxbatman,39,30,Bronze,Bronze
7/25/2018 22:49:56,"Great friends (2 stars, 7 days)",No,1,2/15/2018,7/24/2018,7/25/2018,3,3,10,pdxbatman,39,30,Bronze,Bronze
7/25/2018 22:50:13,"Ultra friends (3 stars, 30 days)",Yes,2,7/22/2018,7/22/2018,7/26/2018,14,12,11,NzInnocent,40,40,Silver,Bronze
7/25/2018 22:50:39,"Great friends (2 stars, 7 days)",Yes,2,8/31/2016,8/10/2016,7/24/2018,7,6,8,XxsecretninjaxX,37,39,Bronze,Silver
7/25/2018 22:50:52,"Great friends (2 stars, 7 days)",No,2,8/26/2017,8/5/2017,7/25/2018,13,11,8,VM1ATL,40,32,Silver,Silver
7/25/2018 22:51:10,"Great friends (2 stars, 7 days)",Yes,3,7/15/2018,,7/25/2018,3,11,5,KazmirFlfnstf,34,34,Bronze,Bronze
7/25/2018 22:51:21,"Great friends (2 stars, 7 days)",Yes,1,1/26/2017,8/18/2016,7/26/2018,8,7,9,AgnimitraSDhar,39,35,Bronze,Bronze
7/25/2018 22:51:49,"Great friends (2 stars, 7 days)",Yes,1,8/15/2016,7/21/2017,7/25/2018,13,12,15,,40,34,Bronze,Bronze
7/25/2018 22:52:51,"Ultra friends (3 stars, 30 days)",Yes,1,7/14/2018,7/25/2018,7/26/2018,10,10,10,carvity,38,40,Silver,Gold
7/25/2018 22:54:18,"Ultra friends (3 stars, 30 days)",Yes,2,7/29/2016,10/29/2016,7/25/2018,13,12,14,AlanGazar,38,40,Bronze,Bronze
7/25/2018 22:54:19,"Great friends (2 stars, 7 days)",Yes,2,4/15/2017,8/24/2016,7/26/2018,7,6,9,AgnimitraSDhar,39,35,Bronze,Bronze
7/25/2018 22:54:23,"Ultra friends (3 stars, 30 days)",Yes,1,7/29/2016,8/8/2016,7/25/2018,11,12,15,Tahanaloo,37,37,Silver,Silver
7/25/2018 22:54:32,"Ultra friends (3 stars, 30 days)",Yes,2,7/23/2017,10/16/2016,7/25/2018,0,14,2,FCMelli,40,40,Silver,Silver
7/25/2018 22:55:27,"Great friends (2 stars, 7 days)",Yes,1,2/6/2017,9/8/2016,7/25/2018,15,14,10,Phr0zenPhara0,40,35,Bronze,Gold
7/25/2018 22:55:48,"Great friends (2 stars, 7 days)",Yes,3,10/10/2016,,7/25/2018,14,10,8,kitty1323,40,39,Gold,Gold
7/25/2018 22:55:49,"Great friends (2 stars, 7 days)",Yes,1,7/15/2016,7/25/2018,7/25/2018,14,11,10,HansAlbertRum,40,24,Bronze,Bronze
7/25/2018 22:58:14,"Great friends (2 stars, 7 days)",Yes,2,8/16/2016,1/27/2017,7/25/2018,12,14,10,lugia222,37,40,None,Bronze
7/25/2018 22:59:28,"Ultra friends (3 stars, 30 days)",No,2,12/25/2017,6/12/2018,7/25/2018,14,6,7,Tahanaloo,37,37,Silver,Silver
7/25/2018 22:59:43,"Great friends (2 stars, 7 days)",Yes,1,9/13/2016,7/25/2018,7/25/2018,11,12,11,r0bas,40,23,Bronze,Bronze
7/25/2018 22:59:54,"Ultra friends (3 stars, 30 days)",No,1,12/17/2017,12/17/2017,7/25/2018,9,2,11,Aderianu,38,38,Silver,Gold
7/25/2018 23:00:01,"Ultra friends (3 stars, 30 days)",Yes,1,1/11/2017,9/20/2017,7/26/2018,7,8,7,Ameentey,39,34,Silver,Silver
7/25/2018 23:00:05,"Great friends (2 stars, 7 days)",Yes,3,8/16/2017,2/8/2016,7/25/2018,10,14,13,PikaTheHad,38,30,Bronze,Bronze
7/25/2018 23:00:45,"Great friends (2 stars, 7 days)",Yes,3,7/16/2018,7/25/2018,7/25/2018,0,0,0,Bugaloo,38,34,Bronze,Bronze
7/25/2018 23:01:03,"Great friends (2 stars, 7 days)",Yes,1,5/30/2018,10/2/2016,7/25/2018,12,12,13,Chelc6474,35,26,None,Bronze
7/25/2018 23:01:07,"Ultra friends (3 stars, 30 days)",Yes,1,6/30/2018,6/24/2018,7/25/2018,14,12,15,,38,36,Bronze,Silver
7/25/2018 23:02:02,"Ultra friends (3 stars, 30 days)",Yes,2,8/3/2016,7/25/2018,7/25/2018,15,13,11,JQuick323i,40,39,Bronze,Silver
7/25/2018 23:02:23,"Great friends (2 stars, 7 days)",Yes,1,7/25/2018,9/13/2016,7/25/2018,15,15,14,griakat,23,40,Bronze,Bronze
7/25/2018 23:02:48,"Ultra friends (3 stars, 30 days)",No,1,12/30/2017,12/10/2017,7/25/2018,5,4,13,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:03:08,"Great friends (2 stars, 7 days)",Yes,3,12/31/2016,6/17/2018,7/25/2018,0,0,0,JurrasicPoke,37,34,Bronze,Bronze
7/25/2018 23:03:14,"Great friends (2 stars, 7 days)",Yes,3,7/25/2016,7/20/2016,7/25/2018,13,14,14,SLH22,39,26,Bronze,Bronze
7/25/2018 23:03:29,"Ultra friends (3 stars, 30 days)",No,2,8/10/2016,10/15/2016,7/25/2018,9,5,2,,,,Silver,Bronze
7/25/2018 23:04:13,"Ultra friends (3 stars, 30 days)",No,2,2/1/2018,,7/25/2018,12,14,5,,39,37,Bronze,Bronze
7/25/2018 23:04:55,"Great friends (2 stars, 7 days)",No,1,7/23/2018,7/24/2018,7/25/2018,2,9,15,,37,29,Silver,Silver
7/25/2018 23:05:42,"Ultra friends (3 stars, 30 days)",Yes,2,8/5/2016,8/31/2016,7/25/2018,14,10,13,WeileAsh,35,38,None,None
7/25/2018 23:05:44,"Ultra friends (3 stars, 30 days)",Yes,1,8/23/2016,10/12/2017,7/25/2018,14,14,11,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:06:13,"Ultra friends (3 stars, 30 days)",No,1,12/22/2017,3/18/2018,7/25/2018,10,14,10,Kamacuras,40,29,Bronze,Bronze
7/25/2018 23:07:18,"Great friends (2 stars, 7 days)",Yes,2,11/9/2016,2/24/2017,7/25/2018,10,12,10,molamolaguy,33,30,Silver,Silver
7/25/2018 23:07:55,"Great friends (2 stars, 7 days)",Yes,2,7/13/2016,8/17/2016,7/25/2018,14,11,9,ariyu01,38,26,Bronze,Bronze
7/25/2018 23:08:16,"Great friends (2 stars, 7 days)",Yes,2,8/13/2016,7/24/2018,7/25/2018,12,12,12,,,,None,Bronze
7/25/2018 23:08:19,"Ultra friends (3 stars, 30 days)",No,1,10/20/2017,7/25/2018,7/25/2018,4,15,8,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:08:32,"Ultra friends (3 stars, 30 days)",No,1,12/27/2017,7/29/2017,7/26/2018,7,14,7,Aderianu,38,38,Silver,Gold
7/25/2018 23:08:47,"Great friends (2 stars, 7 days)",No,1,7/24/2018,1/31/2018,7/25/2018,14,7,8,,37,29,Silver,Silver
7/25/2018 23:08:51,"Great friends (2 stars, 7 days)",No,3,1/20/2018,,7/25/2018,13,2,4,Soipask,36,31,None,Bronze
7/25/2018 23:08:54,"Great friends (2 stars, 7 days)",Yes,1,7/23/2016,7/24/2018,7/25/2018,11,6,6,MaiTai,40,39,Silver,Silver
7/25/2018 23:09:40,"Great friends (2 stars, 7 days)",Yes,2,7/29/2016,7/23/2018,7/25/2018,14,11,15,SirJohnnyHavana,32,31,Bronze,None
7/25/2018 23:09:49,"Great friends (2 stars, 7 days)",Yes,2,6/16/2018,6/16/2018,7/25/2018,15,11,15,,39,33,Bronze,Silver
7/25/2018 23:10:15,"Great friends (2 stars, 7 days)",No,3,6/24/2018,4/1/2018,7/24/2018,15,12,14,NPMJB,32,28,None,Bronze
7/25/2018 23:10:48,"Great friends (2 stars, 7 days)",No,1,1/31/2018,7/24/2018,7/25/2018,10,5,4,,29,37,Silver,Silver
7/25/2018 23:10:56,"Great friends (2 stars, 7 days)",Yes,1,7/24/2017,9/20/2016,7/25/2018,14,12,14,TheFuzzyDalek,37,33,Bronze,Bronze
7/25/2018 23:10:58,"Ultra friends (3 stars, 30 days)",Yes,2,10/21/2017,7/25/2018,7/25/2018,15,13,10,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:12:05,"Great friends (2 stars, 7 days)",No,3,4/11/2018,,7/25/2018,7,15,5,Soipask,36,31,Bronze,Bronze
7/25/2018 23:13:32,"Great friends (2 stars, 7 days)",Yes,2,8/10/2016,7/24/2018,7/25/2018,15,12,15,SirJohnnyHavana,32,31,Bronze,None
7/25/2018 23:13:46,"Great friends (2 stars, 7 days)",No,3,7/11/2018,7/24/2018,7/25/2018,13,15,9,,37,29,Silver,Silver
7/25/2018 23:14:40,"Great friends (2 stars, 7 days)",No,3,12/17/2017,,7/25/2018,10,5,9,Soipask,36,31,Bronze,Bronze
7/25/2018 23:15:06,"Ultra friends (3 stars, 30 days)",No,2,12/30/2017,10/8/2017,7/25/2018,6,3,9,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:15:20,"Great friends (2 stars, 7 days)",Yes,2,8/28/2016,7/20/2018,8/25/2018,13,13,15,SirJohnnyHavana,32,31,Bronze,None
7/25/2018 23:15:27,"Great friends (2 stars, 7 days)",No,3,7/24/2018,7/11/2018,7/25/2018,5,4,7,,29,37,Silver,Silver
7/25/2018 23:16:22,"Great friends (2 stars, 7 days)",Yes,2,7/29/2017,10/10/2016,7/25/2018,15,11,10,,40,31,Bronze,Bronze
7/25/2018 23:16:59,"Great friends (2 stars, 7 days)",No,2,12/27/2017,,7/25/2018,4,10,12,Soipask,36,31,Bronze,Bronze
7/25/2018 23:17:15,"Ultra friends (3 stars, 30 days)",Yes,3,7/25/2018,7/15/2016,7/25/2018,13,14,15,Syv7,38,37,Bronze,Silver
7/25/2018 23:17:34,"Great friends (2 stars, 7 days)",No,2,9/6/2016,7/24/2018,7/25/2018,13,10,11,SirJohnnyHavana ,32,31,Bronze,None
7/25/2018 23:17:57,"Great friends (2 stars, 7 days)",Yes,2,12/31/2016,2/15/2017,7/25/2018,13,15,14,Pain4pleasure,39,40,Bronze,Bronze
7/25/2018 23:18:20,"Ultra friends (3 stars, 30 days)",No,1,3/19/2018,10/20/2017,7/25/2018,7,13,12,Tahanaloo,37,37,Silver,Silver
7/25/2018 23:18:54,"Ultra friends (3 stars, 30 days)",Yes,2,8/3/2016,9/26/2016,7/25/2018,12,14,14,JQuick323i,40,39,Bronze,Silver
7/25/2018 23:19:00,"Ultra friends (3 stars, 30 days)",Yes,3,12/9/2016,7/24/2018,7/25/2018,13,12,13,Syv7,38,37,Bronze,Silver
7/25/2018 23:19:20,"Great friends (2 stars, 7 days)",No,2,9/11/2016,7/24/2018,7/25/2018,10,4,7,SirJohnnyHavana ,32,31,Bronze,None
7/25/2018 23:19:23,"Ultra friends (3 stars, 30 days)",No,2,7/21/2018,7/14/2018,7/25/2018,14,15,12,,36,32,Bronze,Silver
7/25/2018 23:19:34,"Great friends (2 stars, 7 days)",Yes,2,7/25/2018,7/25/2018,7/25/2018,15,12,9,Beard1trainer ,39,23,Silver,Gold
7/25/2018 23:19:34,"Great friends (2 stars, 7 days)",Yes,1,5/23/2017,,7/25/2018,7,12,15,Anphro,39,31,Bronze,Bronze
7/25/2018 23:19:51,"Great friends (2 stars, 7 days)",Yes,3,3/31/2018,,7/25/2018,10,10,13,Soipask,36,31,Bronze,Bronze
7/25/2018 23:20:27,"Great friends (2 stars, 7 days)",No,1,7/9/2018,10/31/2016,7/25/2018,6,4,8,,32,33,None,Bronze
7/25/2018 23:20:54,"Ultra friends (3 stars, 30 days)",Yes,1,1/28/2018,7/28/2016,7/25/2018,12,11,12,mikchaco,38,35,None,None
